NSE_Symbol,Company_Name,ISIN,BSE_Script_Code,BSE_Symbol,YQ_Symbol
,D39MS227RQ,INF740KA1GB2,541245.0,D39MS227RQ,541245.BO
,D39MS227DG,INF740KA1GC0,541246.0,D39MS227DG,541246.BO
,D39MS227DR,INF740KA1GD8,541247.0,D39MS227DR,541247.BO
,D9MS230RG,INF740KA1GR8,541412.0,D9MS230RG,541412.BO
,D9MS230RR,INF740KA1GS6,541413.0,D9MS230RR,541413.BO
,D9MS230RQ,INF740KA1GT4,541414.0,D9MS230RQ,541414.BO
,D9MS230DG,INF740KA1GU2,541415.0,D9MS230DG,541415.BO
,D9MS230DR,INF740KA1GV0,541416.0,D9MS230DR,541416.BO
,D9MS230DQ,INF740KA1GW8,541417.0,D9MS230DQ,541417.BO
,D36MS232DR,INF740KA1HH7,541480.0,D36MS232DR,541480.BO
,D36MS233RG,INF740KA1HP0,541533.0,D36MS233RG,541533.BO
,D36MS233RR,INF740KA1HQ8,541534.0,D36MS233RR,541534.BO
,D36MS233RQ,INF740KA1HR6,541535.0,D36MS233RQ,541535.BO
,D36MS233DG,INF740KA1HS4,541536.0,D36MS233DG,541536.BO
,D36MS235RG,INF740KA1HV8,541568.0,D36MS235RG,541568.BO
,D36MS235RR,INF740KA1HW6,541569.0,D36MS235RR,541569.BO
,D36MS235RQ,INF740KA1HX4,541570.0,D36MS235RQ,541570.BO
,D36MS235DG,INF740KA1HY2,541571.0,D36MS235DG,541571.BO
,D36MS236RG,INF740KA1IB8,541628.0,D36MS236RG,541628.BO
,D36MS236RR,INF740KA1IC6,541629.0,D36MS236RR,541629.BO
,D36MS236RQ,INF740KA1ID4,541630.0,D36MS236RQ,541630.BO
,D36MS236DG,INF740KA1IE2,541631.0,D36MS236DG,541631.BO
,D36MS236DR,INF740KA1IF9,541632.0,D36MS236DR,541632.BO
,D36MS237RG,INF740KA1IH5,541649.0,D36MS237RG,541649.BO
,D36MS237RR,INF740KA1II3,541650.0,D36MS237RR,541650.BO
,D36MS237RQ,INF740KA1IJ1,541651.0,D36MS237RQ,541651.BO
,D36MS237DG,INF740KA1IK9,541652.0,D36MS237DG,541652.BO
,D36MS237DQ,INF740KA1IM5,541653.0,D36MS237DQ,541653.BO
,D36MS238RG,INF740KA1IN3,541661.0,D36MS238RG,541661.BO
,D36MS238RR,INF740KA1IO1,541662.0,D36MS238RR,541662.BO
,D36MS238RQ,INF740KA1IP8,541663.0,D36MS238RQ,541663.BO
,D36MS238DG,INF740KA1IQ6,541664.0,D36MS238DG,541664.BO
,D36MS238DR,INF740KA1IR4,541665.0,D36MS238DR,541665.BO
,D36MS239RG,INF740KA1IT0,541666.0,D36MS239RG,541666.BO
,D36MS239RR,INF740KA1IU8,541667.0,D36MS239RR,541667.BO
,D36MS239DG,INF740KA1IW4,541668.0,D36MS239DG,541668.BO
,D36MS241RG,INF740KA1JF7,541746.0,D36MS241RG,541746.BO
,D36MS241RR,INF740KA1JG5,541747.0,D36MS241RR,541747.BO
,D36MS241RQ,INF740KA1JH3,541748.0,D36MS241RQ,541748.BO
,D36MS241DG,INF740KA1JI1,541749.0,D36MS241DG,541749.BO
,D36MS241DQ,INF740KA1JK7,541750.0,D36MS241DQ,541750.BO
,D3MS242RG,INF740KA1JL5,541761.0,D3MS242RG,541761.BO
,D3MS242DG,INF740KA1JO9,541763.0,D3MS242DG,541763.BO
,D3MS242DR,INF740KA1JP6,541764.0,D3MS242DR,541764.BO
,D3MS242DQ,INF740KA1JQ4,541765.0,D3MS242DQ,541765.BO
,D36MS243RG,INF740KA1JR2,541821.0,D36MS243RG,541821.BO
,D36MS243RR,INF740KA1JS0,541822.0,D36MS243RR,541822.BO
,D36MS243RQ,INF740KA1JT8,541823.0,D36MS243RQ,541823.BO
,D36MS243DG,INF740KA1JU6,541824.0,D36MS243DG,541824.BO
,D36MS243DR,INF740KA1JV4,541825.0,D36MS243DR,541825.BO
,D36MS243DQ,INF740KA1JW2,541826.0,D36MS243DQ,541826.BO
,D36MS244RG,INF740KA1KL3,541860.0,D36MS244RG,541860.BO
,D36MS244RQ,INF740KA1KN9,541861.0,D36MS244RQ,541861.BO
,D36MS244DG,INF740KA1KO7,541862.0,D36MS244DG,541862.BO
,D36MS244DR,INF740KA1KP4,541863.0,D36MS244DR,541863.BO
,D36MS244DQ,INF740KA1KQ2,541864.0,D36MS244DQ,541864.BO
,D39MS250RG,INF740KA1MV8,542478.0,D39MS250RG,542478.BO
,D39MS250RR,INF740KA1MW6,542479.0,D39MS250RR,542479.BO
,D39MS250RQ,INF740KA1MX4,542480.0,D39MS250RQ,542480.BO
,D39MS250DG,INF740KA1MY2,542481.0,D39MS250DG,542481.BO
,D39MS250DR,INF740KA1MZ9,542482.0,D39MS250DR,542482.BO
,D39MS250DQ,INF740KA1NA0,542483.0,D39MS250DQ,542483.BO
,D38MS251RG,INF740KA1NB8,542581.0,D38MS251RG,542581.BO
,D38MS251RR,INF740KA1NC6,542582.0,D38MS251RR,542582.BO
,D38MS251RQ,INF740KA1ND4,542583.0,D38MS251RQ,542583.BO
,D38MS251DG,INF740KA1NE2,542584.0,D38MS251DG,542584.BO
,D38MS251DR,INF740KA1NF9,542585.0,D38MS251DR,542585.BO
,D36MS232RG,INF740KA1PY5,541477.0,D36MS232RG,541477.BO
,D36MS232RR,INF740KA1PZ2,541478.0,D36MS232RR,541478.BO
,D36MS232DG,INF740KA1QB1,541479.0,D36MS232DG,541479.BO
,D60MS264RG,INF740KA1QE5,543353.0,D60MS264RG,543353.BO
,D60MS264RP,INF740KA1QF2,543354.0,D60MS264RP,543354.BO
,D60MS264DG,INF740KA1QH8,543355.0,D60MS264DG,543355.BO
,D60MS264DP,INF740KA1QI6,543356.0,D60MS264DP,543356.BO
,DSPNEWETF,INF740KA1QK2,543388.0,DSPNEWETF,543388.BO
,DSPNEWEINAV,INF740KA1QK2,199090.0,DSPNEWEINAV,199090.BO
,DSPQ50ETF,INF740KA1QL0,543438.0,DSPQ50ETF,543438.BO
,DSPQ50EINAV,INF740KA1QL0,199094.0,DSPQ50EINAV,199094.BO
,DSPSILVETF,INF740KA1RE3,543572.0,DSPSILVETF,543572.BO
,DSPSILINAV,INF740KA1RE3,199123.0,DSPSILINAV,199123.BO
,D1246267RG,INF740KA1RF0,543658.0,D1246267RG,543658.BO
,D1246267RR,INF740KA1RG8,543660.0,D1246267RR,543660.BO
,D1246267RP,INF740KA1RH6,543659.0,D1246267RP,543659.BO
,D1246267DG,INF740KA1RI4,543661.0,D1246267DG,543661.BO
,D1246267DP,INF740KA1RK0,543662.0,D1246267DP,543662.BO
,D1281268RG,INF740KA1RL8,543672.0,D1281268RG,543672.BO
,D1281268RR,INF740KA1RM6,543673.0,D1281268RR,543673.BO
,D1281268RP,INF740KA1RN4,543674.0,D1281268RP,543674.BO
,D1281268DG,INF740KA1RO2,543675.0,D1281268DG,543675.BO
,D1281268DP,INF740KA1RQ7,543676.0,D1281268DP,543676.BO
,D160S269RG,INF740KA1RR5,543716.0,D160S269RG,543716.BO
,D160S269RR,INF740KA1RT1,543717.0,D160S269RR,543717.BO
,D160S269DG,INF740KA1RU9,543718.0,D160S269DG,543718.BO
,D160S269DP,INF740KA1RV7,543719.0,D160S269DP,543719.BO
,DSPBANKETF,INF740KA1RX3,543738.0,DSPBANKETF,543738.BO
,DSPBINAV,INF740KA1RX3,199140.0,DSPBINAV,199140.BO
,D1144270RG,INF740KA1SK8,543788.0,D1144270RG,543788.BO
,D1144270RP,INF740KA1SL6,543789.0,D1144270RP,543789.BO
,D1144270RR,INF740KA1SM4,543790.0,D1144270RR,543790.BO
,D1144270DG,INF740KA1SN2,543791.0,D1144270DG,543791.BO
,D1144270DP,INF740KA1SO0,543792.0,D1144270DP,543792.BO
,DSPGOLDETF,INF740KA1SW3,543903.0,DSPGOLDETF,543903.BO
,DSPGINAV,INF740KA1SW3,199151.0,DSPGINAV,199151.BO
,EBBETF0423,INF754K01KN4,542908.0,EBBETF0423,542908.BO
,EBBET0INAV,INF754K01KN4,199068.0,EBBET0INAV,199068.BO
,EBBETF0430,INF754K01KO2,542909.0,EBBETF0430,542909.BO
,EBETF0INAV,INF754K01KO2,199069.0,EBETF0INAV,199069.BO
,EBBETF0425,INF754K01LD3,543215.0,EBBETF0425,543215.BO
,EBBETAINAV,INF754K01LD3,199072.0,EBBETAINAV,199072.BO
,EBBETF0431,INF754K01LE1,543216.0,EBBETF0431,543216.BO
,EBBETF0INAV,INF754K01LE1,199073.0,EBBETF0INAV,199073.BO
,BBETF0432,INF754K01OB1,543418.0,BBETF0432,543418.BO
,BBETF04INAV,INF754K01OB1,199092.0,BBETF04INAV,199092.BO
,EBBETF0433,INF754K01QX0,543699.0,EBBETF0433,543699.BO
,EBBEINAV,INF754K01QX0,199137.0,EBBEINAV,199137.BO
,LICNETFN50,INF767K01OS7,539480.0,LICNETFN50,539480.BO
,LICE50INAV,INF767K01OS7,199044.0,LICE50INAV,199044.BO
,LICNETFSEN,INF767K01OT5,539487.0,LICNETFSEN,539487.BO
,LICETFINAV,INF767K01OT5,199045.0,LICETFINAV,199045.BO
,LICNFNHGP,INF767K01PC8,539784.0,LICNFNHGP,539784.BO
,LICFNHINAV,INF767K01PC8,199048.0,LICFNHINAV,199048.BO
,MAN50ETF,INF769K01EG9,542131.0,MAN50ETF,542131.BO
,MAN50ETINAV,INF769K01EG9,199061.0,MAN50ETINAV,199061.BO
,MIRAEF3RGG,INF769K01EN5,542568.0,MIRAEF3RGG,542568.BO
,MIRAEF3RDD,INF769K01EO3,542567.0,MIRAEF3RDD,542567.BO
